Querylength,domain_token_count,path_token_count,domainlength,pathLength,NumberofDotsinURL,URL_DigitCount,URL_Letter_Count,spcharUrl
58,2,4,12,115,8,38,80,5
0,2,2,12,12,1,1,26,1
0,3,7,15,49,2,8,48,6
0,12,6,122,106,11,103,107,6
0,2,9,10,62,1,18,45,8
0,2,1,18,0,1,0,17,0
0,2,6,14,36,1,0,44,3
0,3,1,30,2,2,0,30,0
0,3,2,19,10,3,0,30,1
6,2,4,12,24,3,0,31,2
0,2,2,16,11,1,3,22,0
0,2,4,12,29,1,11,26,1
0,4,9,29,50,3,10,58,6
0,2,7,16,50,2,0,59,3
0,2,2,6,13,1,0,17,1
0,2,3,12,32,1,6,35,0
0,2,2,12,1,1,0,11,0
0,5,4,41,59,5,14,73,6
0,2,1,12,0,1,0,11,0
0,3,2,16,33,2,18,28,0
0,2,2,12,15,2,0,25,0
0,2,2,12,13,2,1,22,0
0,2,4,8,32,1,0,36,0
0,4,2,19,6,4,15,9,2
0,3,4,17,26,3,10,28,0
0,4,2,17,9,4,0,22,0
0,2,2,19,1,1,0,18,0
0,3,6,26,31,4,0,50,2
0,2,4,21,24,1,0,41,2
24,2,4,10,36,2,5,34,4
0,2,8,14,35,2,9,32,3
0,2,2,16,10,2,0,28,1
0,2,4,18,25,1,0,39,1
0,2,4,15,34,1,5,40,0
0,2,1,10,11,1,0,20,0
0,2,9,8,58,1,0,57,4
133,4,3,26,143,4,6,139,25
0,2,12,14,65,1,10,61,12
57,2,3,11,67,2,6,63,12
0,4,3,20,27,3,9,38,2
0,4,2,14,10,3,0,20,0
18,3,3,10,31,4,14,21,2
0,2,2,22,1,1,0,21,0
46,3,4,17,60,3,3,65,10
0,4,7,19,44,4,3,55,2
0,3,4,25,25,3,5,40,1
85,2,3,11,95,2,0,93,11
0,3,3,16,15,2,0,27,1
0,2,2,20,1,1,0,19,0
0,14,6,133,35,12,44,106,3
96,2,3,20,106,2,8,105,16
114,4,3,23,124,4,4,122,22
0,4,3,19,14,3,0,32,3
0,3,9,15,72,2,19,62,3
0,2,2,18,1,1,0,17,0
0,3,3,21,43,2,4,49,5
50,3,3,30,65,3,8,76,8
42,4,4,19,57,4,2,66,8
0,3,3,16,22,2,0,32,3
0,3,7,16,43,3,12,39,1
0,3,4,25,21,2,0,41,1
0,2,5,10,19,1,6,18,2
0,3,6,25,35,3,4,49,0
0,3,5,16,30,2,0,38,5
27,2,6,12,55,2,7,49,7
47,3,6,18,71,3,4,74,12
0,2,5,9,31,3,0,39,1
0,3,9,23,49,2,4,58,6
0,2,3,18,16,2,0,31,0
0,2,9,22,50,2,6,57,5
0,2,4,25,41,2,0,62,0
55,3,3,14,65,3,4,65,12
0,2,11,8,61,1,11,47,8
11,2,4,16,34,1,2,45,6
0,2,4,14,13,2,2,21,0
0,2,1,11,18,1,0,28,0
0,2,5,12,36,1,11,32,2
0,3,8,18,47,3,0,56,2
0,2,2,19,10,2,0,31,1
60,4,5,27,88,3,26,83,6
0,4,3,13,15,4,12,15,1
141,5,3,22,151,4,7,142,25
0,2,4,12,29,4,0,37,0
0,3,2,16,15,2,0,28,0
0,3,3,19,20,3,2,33,0
47,4,3,18,57,4,4,62,10
0,2,6,10,45,1,5,44,3
0,3,6,17,41,3,9,42,3
0,3,5,16,29,2,1,36,5
0,2,10,15,64,1,20,53,1
0,2,4,8,22,1,0,26,2
7,2,4,18,29,2,8,34,2
0,4,9,23,75,4,0,87,4
0,2,5,18,32,2,8,37,0
130,4,3,24,140,4,7,135,23
0,2,4,19,25,2,0,40,1
0,2,16,21,175,3,32,142,13
0,3,2,15,1,2,0,13,0
14,2,2,9,15,1,6,13,4
0,3,2,15,9,2,0,21,0
0,2,7,17,51,1,5,56,6
0,2,4,12,32,1,15,25,1
0,3,4,16,24,3,0,35,0
0,5,5,17,40,5,0,49,0
0,2,5,12,32,2,5,34,2
0,2,1,17,0,1,0,16,0
0,2,2,13,1,1,0,12,0
0,3,2,22,1,2,0,20,0
0,3,1,26,0,2,0,24,0
0,2,4,8,30,1,0,34,0
0,2,1,12,6,1,0,17,0
0,3,4,16,28,2,0,39,2
0,3,5,28,20,2,8,34,0
0,2,1,10,11,1,0,20,0
0,2,7,19,33,1,8,37,1
0,3,4,20,28,3,2,41,0
0,5,2,23,1,4,0,24,1
0,2,4,10,26,1,5,27,1
0,4,2,20,6,4,16,9,2
0,2,4,15,21,1,0,32,2
0,2,2,14,13,1,4,21,0
0,3,10,26,62,3,2,79,7
8,2,5,12,32,2,4,34,2
0,2,18,13,105,1,0,104,16
0,3,2,17,10,2,0,24,0
26,2,3,16,36,2,0,49,6
0,2,11,12,70,1,10,65,7
11,2,13,10,78,1,8,70,10
0,2,4,12,19,1,0,27,0
0,3,3,21,26,2,0,47,1
0,2,12,10,78,1,7,69,9
67,7,9,51,130,6,37,128,10
0,3,2,10,1,1,0,8,1
0,3,3,20,16,2,0,32,1
0,2,2,12,14,1,0,24,1
0,3,5,15,69,3,26,55,3
62,2,4,12,75,4,7,59,10
48,2,5,11,76,2,12,60,16
0,2,4,10,29,1,5,30,1
0,2,7,18,34,1,6,39,4
0,3,12,23,88,2,15,83,6
0,3,3,16,20,2,0,32,1
0,3,8,16,60,4,9,62,2
0,2,2,9,64,1,23,31,22
37,3,3,21,47,3,3,59,8
0,5,2,29,1,2,0,29,3
0,2,1,12,15,1,0,26,0
0,3,2,14,12,2,4,19,0
47,2,3,16,57,2,4,62,10
0,4,3,19,15,2,4,29,3
0,3,4,24,13,2,0,32,1
0,3,14,20,76,1,0,80,12
0,2,4,16,23,1,4,31,1
0,2,13,10,67,1,8,60,9
0,2,3,16,17,2,0,30,0
0,5,8,41,57,5,0,86,4
0,2,2,12,17,1,0,27,0
0,2,4,12,29,1,6,31,2
80,2,4,23,101,4,8,99,12
57,2,8,11,98,2,1,88,16
0,2,16,12,85,1,0,81,12
0,3,2,32,1,2,0,30,0
0,2,2,12,11,2,0,21,0
0,2,2,15,12,2,0,25,0
