Querylength,domain_token_count,path_token_count,domainlength,pathLength,NumberofDotsinURL,URL_DigitCount,URL_Letter_Count,spcharUrl
0,2,5,12,37,1,15,29,2
0,3,2,22,9,2,0,28,0
0,2,7,14,44,2,0,51,3
165,2,7,13,207,2,78,131,12
47,3,3,22,57,3,4,67,10
11,2,3,10,21,2,6,25,3
0,2,3,14,27,1,0,38,1
0,3,9,20,52,3,0,62,2
0,2,2,14,33,1,24,21,0
61,2,4,10,75,2,31,49,8
0,3,9,20,51,2,14,47,4
60,3,5,21,85,3,3,93,11
0,3,5,16,24,3,2,32,0
73,3,2,17,82,2,28,66,9
0,3,4,18,26,2,0,43,3
0,2,6,18,34,2,6,40,2
0,2,3,10,18,1,0,25,1
13,2,2,11,19,1,3,23,3
76,4,4,25,91,4,3,99,14
71,3,3,9,88,3,6,76,12
0,2,3,14,16,2,4,28,1
0,2,1,11,14,1,0,24,0
0,3,6,27,33,4,1,56,3
86,4,3,30,104,1,23,91,18
0,3,17,26,122,3,0,134,15
0,2,1,19,0,1,0,18,0
129,4,3,29,139,4,6,140,23
60,3,3,18,70,3,4,74,12
0,2,6,17,37,2,7,41,2
0,2,10,10,67,1,8,59,7
0,3,5,31,49,3,10,64,1
0,2,6,12,36,1,1,41,1
95,3,3,21,105,3,12,98,18
0,2,5,13,92,1,37,41,29
0,2,4,11,32,1,6,33,1
0,3,2,22,8,2,0,27,0
0,2,3,18,14,1,0,29,1
0,3,1,15,0,1,0,13,1
0,3,5,22,37,3,4,53,1
0,2,4,13,17,1,1,25,1
0,3,3,17,19,3,2,30,0
0,3,5,9,49,3,4,48,0
0,2,3,10,26,1,6,27,0
0,2,4,12,19,1,0,27,1
0,4,5,27,13,2,1,36,3
0,2,2,13,16,1,3,23,1
0,4,3,21,11,3,0,27,0
0,2,11,16,71,1,13,63,6
0,3,3,26,29,3,0,51,0
0,4,4,15,22,4,0,30,1
28,2,5,19,49,2,1,61,9
0,3,5,16,34,2,4,40,3
0,3,9,23,48,2,6,55,6
265,7,5,45,299,3,50,270,17
32,3,3,19,44,4,3,50,6
0,2,10,12,67,2,0,73,8
0,4,3,13,17,4,11,18,1
0,2,12,11,65,2,12,56,10
0,3,5,14,25,3,0,33,0
62,3,3,13,72,6,1,70,5
0,2,1,19,0,1,0,23,1
0,2,16,17,86,1,7,80,14
49,3,3,13,59,3,3,61,10
0,2,4,7,26,1,6,23,1
0,2,3,20,15,2,0,36,2
0,3,2,16,15,2,0,28,0
76,3,5,14,104,2,10,102,7
0,3,11,34,49,2,8,63,6
0,2,3,20,46,1,6,54,3
0,3,2,14,9,2,0,20,0
0,3,2,17,9,3,0,27,1
0,4,2,31,1,2,4,24,1
0,2,5,14,26,1,1,34,2
